9/9/2008,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,,,4,,1,,,,5,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,,,,,,,0,1
Ochlerotatus atlanticus,37,45,27,22,1,396,,,528,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,15,,,15,8
O. infirmatus,49,33,58,35,3,415,,,593,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,32,19,25,,,73,,,149,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,,,13,19,,59,,,91,25
C. nigrapalpus,29,43,62,39,2,375,,,550,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,0,41
Coquillettidia  perturbans,,,,,,,,,0,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,3,,,,,,,,3,51
P. columbiae,,,,,1,,,,1,50
P. ferox,8,,,3,,17,,,28,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
