7/31/2012,,,,,,,,
Site:,1,2,3,4,5,6,Totals,Code #
Aedes albopictus,1,,,,1,,0,2
A. aegypti,,,,,,,0,3
A. vexans,,,,,,,0,1
Ochlerotatus atlanticus,,,47,,51,,98,9
O. dupreei,,,,,,,0,18
O. fulvus pallens,,,,,,,0,8
O. infirmatus,28,32,,,,,60,7
O.  mitchellae,,,,,,,0,6
O. solicitans,,,,,,,0,15
O.  taeniorhynchus,,,,,,,0,5
O.  triseriatus,,,,,,,0,14
Anopheles crucians,31,,,,12,53,96,34
A. quadrimaculatus,,,,,,,0,31
Culex  erraticus,153,,75,,,,228,25
C. nigrapalpus,841,112,601,858,329,944,3685,42
C.  quinquefasciatus,,,,,,,0,27
C. restuans,,,,,,,0,21
C.  salinarius,,,,,,,0,23
Culiseta  inornata,,,,,,,0,40
Culiseta  melanura,2,,63,17,38,,120,41
Coquillettidia  perturbans,,,,,,,0,60
Mansonia  titillans,,,,,,,0,47
M. dyari,,,,,,,0,48
Psorophora  ciliata,14,5,,,2,,5,51
P. columbiae,,,,,4,,0,50
P. ferox,17,5,12,3,12,31,20,52
P. howardii,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,0,70
U.  lowii,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,0,80
W.  vanduzeei,,,,,,,0,82
