10/22/2013,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,,,,,1,,1,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,7,,,,,7,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,,,,,,0,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,1,,,,1,14
Anopheles crucians,27,7,1,,1,25,,64,3,14,142,34
A. quadrimaculatus,2,1,,,,,,,,,3,31
Culex  erraticus,16,103,1,,,26,,48,30,5,229,25
C. nigripalpus,51,9,29,1,1,35,,32,13,26,197,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,6,,,,1,7,41
Coquillettidia  perturbans,1,1,,,,1,,80,,1,84,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,4,21,7,,5,31,,912,22,34,1036,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,,,,,,,,,0,50
P. ferox,,,,,,,,,,,0,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,1,,,,,,,,,,1,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other (Cx coronator),,,,,,,,,,,0,100
