7/9/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,1,,1,8,,,,,,10,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,10,2,1,13,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,2,,,,,2,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,,9,,,,14,3,37,14,32,109,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,29,69,,1,,137,19,34,63,84,436,42
C.  quinquefasciatus,4,5,,,7,51,2,5,,,74,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,2,,,,3,3,16,224,15,2,265,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,3,,,,15,,5,18,,41,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,,,,,,,,,0,50
P. ferox,,,,,,1,,,,,1,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,3,,,,,3,70
U.  lowii,,,,,,1,,,,,1,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
