9/17/2013,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,,1,,,,,,2,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,1,,176,,,,16,193,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,2,,,,,,2,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,128,,,,,128,,160,,72,488,34
A. quadrimaculatus,,,,,1,,,96,,,97,31
Culex  erraticus,896,1104,4,,10,912,20,1184,496,464,5090,25
C. nigripalpus,200,136,1,17,4,192,80,160,96,16,902,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,,,,,,,8,256,64,64,392,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,48,,,1,240,192,1472,320,40,2313,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,,,,16,,32,,,48,50
P. ferox,,,,,,,,,,16,16,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other (Cx coronator),,,,,,,,,,,0,100
