10/1/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,4,3,,,,,,,,7,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,24,,,,,,,,2,,26,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,2,,,,8,,,,,10,8
O. infirmatus,48,26,3,4,1,120,,48,10,8,268,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,152,26,3,,1,272,,304,,16,774,34
A. quadrimaculatus,,4,,,,,,,,,4,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,728,116,18,13,17,216,14,544,116,224,2006,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,4,,,,,,,,,4,41
Coquillettidia  perturbans,8,,,,8,,4,560,14,136,730,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,8,12,36,,11,24,52,144,24,56,367,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,,,,36,,,,,36,50
P. ferox,16,24,,,,40,,96,,,176,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,2,,,,,,,,,2,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
