7/4/2012,,,,,,,,
Site:,1,2,3,4,5,6,Totals,Code #
Aedes albopictus,,1,1,3,,,5,2
A. aegypti,,,,,,,0,3
A. vexans,,,,,,,0,1
Ochlerotatus atlanticus,5,3,,,,19,27,9
O. dupreei,,,,,,,0,18
O. fulvus pallens,,,,,,,0,8
O. infirmatus,21,15,,,,1,37,7
O.  mitchellae,,,,,,,0,6
O. solicitans,,,,,,,0,15
O.  taeniorhynchus,,,,,,,0,5
O.  triseriatus,,,,,,,0,14
Anopheles crucians,7,4,,,,17,28,34
A. quadrimaculatus,,,,,,,0,31
Culex  erraticus,12,9,5,9,,31,66,25
C. nigrapalpus,52,48,12,27,,127,266,42
C.  quinquefasciatus,,,,,,,0,27
C. restuans,,,,,,,0,21
C.  salinarius,,,,,,,0,23
Culiseta  inornata,,,,,,,0,40
Culiseta  melanura,,,,,,,0,41
Coquillettidia  perturbans,12,,,,,,12,60
Mansonia  titillans,,,,,,,0,47
M. dyari,,,,,,,0,48
Psorophora  ciliata,,,,3,,,3,51
P. columbiae,,,,,,,0,50
P. ferox,,,,,,,0,52
P. howardii,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,0,70
U.  lowii,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,0,80
W.  vanduzeei,,,,,,,0,82
