6/2/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,1,,,,,,1,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,,,,,,0,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,5,,7,4,2,69,1,408,24,56,576,34
A. quadrimaculatus,,,1,,,,,,,,1,31
Culex  erraticus,,,,,,5,,,12,,17,25
C. nigripalpus,15,7,10,,2,112,6,112,236,30,530,42
C.  quinquefasciatus,2,,2,2,,6,1,16,32,4,65,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,2,,1,1,,3,,,8,1,16,41
Coquillettidia  perturbans,1,,,,4,32,11,296,116,38,498,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,4,,,,,,144,44,3,195,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,3,,,,,,,,,,3,50
P. ferox,,,,,1,,,,,,1,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
