8/5/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,1,,2,8,4,,1,,,,16,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,3,3,,,6,8,,,3,2,25,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,1,3,,2,,,6,8
O. infirmatus,30,,,5,56,65,5,,7,,168,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,1,2,,,,15,,28,,3,49,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,12,109,,,6,84,18,22,81,7,339,42
C.  quinquefasciatus,,7,1,,7,10,9,,8,,42,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,,,,,,,2,176,3,1,182,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,3,,,,6,,,5,,14,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,2,,2,42,,6,3,,55,50
P. ferox,9,,2,20,69,7,1,14,,12,134,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
