7/22/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,,7,1,,2,,,11,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,5,,8,2,,15,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,4,,,,,6,,,,,10,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,1,,,,,,,,,,1,14
Anopheles crucians,9,,,,,18,1,20,6,8,62,34
A. quadrimaculatus,,,,,,,,,1,,1,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,26,,,,,102,19,10,148,15,320,42
C.  quinquefasciatus,6,,2,,8,47,,,,,63,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,1,,,,,,,,,,1,41
Coquillettidia  perturbans,,,1,,2,4,4,328,36,18,393,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,2,,,1,,4,4,21,2,34,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,2,,,,,1,,,2,,5,50
P. ferox,1,,,,,6,,,,,7,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
