5/13/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,1,,,,,,1,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,3,,,,,,3,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,2,4,,1,,18,,,,1,26,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,53,19,1,1,2,76,13,15,27,14,221,34
A. quadrimaculatus,,,,,1,,,,,,1,31
Culex  erraticus,,,,,,,,,,1,1,25
C. nigripalpus,22,87,1,,,22,7,9,69,3,220,42
C.  quinquefasciatus,,,,,,,,,,1,1,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,2,1,,,,,,2,,,5,41
Coquillettidia  perturbans,3,,,1,11,58,38,38,40,,189,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,,,,,,,32,1,,33,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,,,,8,,,,2,10,50
P. ferox,,,,,,,,,,,0,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,1,,,,,,1,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
