5/6/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,1,,,,,,1,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,1,28,,,,1,30,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,,55,,,1,,1,648,,,705,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,,4,,,,,,,,4,25
C. nigripalpus,2,51,,1,,5,9,72,36,,176,42
C.  quinquefasciatus,4,,,,,,,,,,4,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,6,,,1,,,16,,,23,41
Coquillettidia  perturbans,,8,1,,4,1,22,88,,,124,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,1,,,,,,,,,,1,50
P. ferox,,,,,,,,,,,0,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
