5/20/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,,,,,,,0,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,1,,,1,,,,,,,2,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,,,,,,0,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,28,12,,2,2,4,,1568,7,99,1722,34
A. quadrimaculatus,,,2,,,,,,,,2,31
Culex  erraticus,,5,3,,1,,,,,,9,25
C. nigripalpus,2,42,8,,,3,10,,5,9,79,42
C.  quinquefasciatus,,,,,,,2,,,,2,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,1,,,,,,,,1,41
Coquillettidia  perturbans,4,3,3,3,11,3,36,240,14,20,337,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,6,,,,,2,64,15,,87,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,13,,2,,,,,,,1,16,50
P. ferox,,,,,,,,,,,0,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
