5/12/2009,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,,,1,,,,,,1,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,1,3,,4,,,8,1
Ochlerotatus atlanticus,7,2,,1,,18,,,28,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,0,8
O. infirmatus,28,3,18,24,3,19,,,95,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,,3,,1,,,,,4,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,1,,1,,,22,,,24,25
C. nigrapalpus,4,,2,,,,,,6,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,7,5,4,1,,2,,,19,41
Coquillettidia  perturbans,3,1,2,,,5,,,11,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,0,51
P. columbiae,,,,,,,,,0,50
P. ferox,1,,,,,1,,,2,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
