8/26/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,,4,,,4,,,9,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,1,,,4,,,,5,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,1,,24,,,,1,26,8
O. infirmatus,216,24,,1,,112,,1,,3,357,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,56,18,,,,152,,16,,6,248,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,120,512,8,3,2,336,122,164,4,47,1318,42
C.  quinquefasciatus,,,,,,,9,,,4,13,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,8,,,,,,,,,8,41
Coquillettidia  perturbans,24,8,,,,,8,20,,1,61,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,16,8,1,,1,72,2,24,3,2,129,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,64,8,,,,232,3,,,1,308,50
P. ferox,16,,1,,,,,16,,5,38,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
