9/16/2010,,,,,,,,,,
Site:,1,2,3,4,5,6,,,Totals,Code #
Aedes albopictus,,,3,,2,,,,5,2
A. aegypti,,,,,,,,,0,3
A. vexans,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,0,9
O. dupreei,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,0,8
O. infirmatus,,13,16,3,6,,,,38,7
O.  mitchellae,,,,,,,,,0,6
O. solicitans,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,0,14
Anopheles crucians,13,35,,5,10,59,,,122,34
A. quadrimaculatus,,,,,,,,,0,31
Culex  erraticus,,12,9,6,5,21,,,53,25
C. nigrapalpus,47,79,27,16,13,159,,,341,42
C.  quinquefasciatus,,,,,,,,,0,27
C. restuans,,,,,,,,,0,21
C.  salinarius,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,0,41
Coquillettidia  perturbans,,,,,1,,,,1,60
Mansonia  titillans,,,,,,,,,0,47
M. dyari,,,,,,,,,0,48
Psorophora  ciliata,,,,,,,,,0,51
P. columbiae,5,,,,4,,,,9,50
P. ferox,,,,,,,,,0,52
P. howardii,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,0,70
U.  lowii,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,0,82
