10/7/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,1,2,,1,,,,,,4,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,8,,2,2,,,,8,24,8,52,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,16,,1,1,,928,,8,,,954,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,104,,,,,272,16,128,16,48,584,34
A. quadrimaculatus,8,2,,,,,,4,,,14,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,172,5,5,1,6,80,68,76,304,160,877,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,8,,,,,,,,,,8,41
Coquillettidia  perturbans,12,2,2,,1,,4,44,40,104,209,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,4,19,32,,1,,140,28,320,32,576,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,12,,,,,128,4,64,8,,216,50
P. ferox,,3,,2,,80,,8,,16,109,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
