9/17/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,2,3,2,,,,,,7,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,76,5,9,7,2,112,,20,,,231,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,36,4,,,,48,,76,48,3,215,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,980,36,12,,15,136,92,304,736,23,2334,42
C.  quinquefasciatus,,,,2,,,8,,,,10,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,,,,,,,56,64,,,120,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,8,11,,,1,,4,84,112,8,228,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,32,7,12,1,2,32,,20,72,4,182,50
P. ferox,52,3,,14,3,,,44,,2,118,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
