7/15/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,,9,,,1,,,11,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,1,,1,3,,9,10,,24,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,1,,,,,,,,,,1,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,12,3,,,,65,1,11,20,16,128,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,,,,,,3,,,,,3,25
C. nigripalpus,23,87,,,1,138,39,30,65,52,435,42
C.  quinquefasciatus,2,5,2,1,1,34,,,,,45,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,,,,,1,14,25,72,81,,193,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,11,,,1,16,16,31,128,1,204,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,1,2,,2,,1,1,,1,,8,50
P. ferox,,,,,,5,,,,,5,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
