7/1/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,1,,,,,,,2,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,2,,,,2,,22,,4,30,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,1,,,,,,,1,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,5,1,,,,12,,52,8,36,114,34
A. quadrimaculatus,,2,,,,,,,1,,3,31
Culex  erraticus,,2,,,,,,,,,2,25
C. nigripalpus,15,30,2,,,33,9,46,77,57,269,42
C.  quinquefasciatus,1,,,,,,1,,,,2,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,1,,,,2,1,12,208,21,3,248,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,,,,1,3,3,20,16,3,46,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,5,6,,,1,4,,,2,,18,50
P. ferox,,,,,,1,,,,,1,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
