9/2/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,6,1,7,,1,2,12,,29,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,6,,,,1,,1,,16,,24,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,3,,4,,2,,,9,8
O. infirmatus,28,2,9,,3,144,,12,24,,222,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,16,2,,,,40,1,28,60,,147,34
A. quadrimaculatus,,,,,,,,2,,,2,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,155,87,4,4,7,308,48,192,248,33,1086,42
C.  quinquefasciatus,,7,,,4,,3,,,,14,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,2,,,2,41
Coquillettidia  perturbans,,,,,,8,1,22,20,2,53,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,2,,,,1,16,3,12,76,,110,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,12,,,,,64,1,,16,1,94,50
P. ferox,3,,2,1,7,24,,20,16,4,77,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
