9/24/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,1,1,7,8,1,,16,,34,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,2,,,,,,,,2,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,1,,,,,,,1,8
O. infirmatus,168,28,17,5,12,48,2,26,24,120,450,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,104,12,,,,80,,26,,16,238,34
A. quadrimaculatus,,4,,,,,1,2,,,7,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,512,256,38,8,7,528,102,142,1112,344,3049,42
C.  quinquefasciatus,,,,,2,,,,,,2,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,8,,,,,,,,,,8,41
Coquillettidia  perturbans,8,,,,,,11,14,16,8,57,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,,4,,1,32,6,22,8,,73,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,192,60,,,2,8,1,4,16,56,339,50
P. ferox,40,,2,9,20,8,,10,8,112,209,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
