8/11/2015,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,2,,1,1,10,,2,,,,16,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,6,2,3,,,6,,8,2,,27,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,1,2,,,,3,8
O. infirmatus,262,12,,,7,208,1,40,,19,549,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,20,3,,1,,38,1,4,,13,80,34
A. quadrimaculatus,,,,,,,,,,1,1,31
Culex  erraticus,,,,,,,,,,,0,25
C. nigripalpus,,237,6,,5,82,44,140,7,87,608,42
C.  quinquefasciatus,,,,,7,,,,,,7,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,2,,,,,,,,,2,41
Coquillettidia  perturbans,,,,,,,3,52,,4,59,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,3,,,,,,8,27,6,44,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,18,13,8,,,18,,,3,5,65,50
P. ferox,52,3,3,1,26,28,,188,,51,352,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,,,,,,,,,,,0,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other,,,,,,,,,,,0,100
