7/15/2014,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,1,1,,,,,,,2,4,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,7,10,15,,,12,,10,15,8,77,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,75,25,6,1,,10,,21,42,30,210,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,52,12,7,,2,14,11,36,36,10,180,25
C. nigripalpus,44,40,18,1,3,64,35,30,75,36,346,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,,,,,,,,,,,0,41
Coquillettidia  perturbans,42,5,12,,2,14,2,63,38,24,202,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,16,,,,,6,3,54,16,,95,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,12,38,7,,,56,,18,25,,156,50
P. ferox,2,11,10,,2,8,,3,20,12,68,52
P. howardii,,2,,,,,,,,,2,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,6,,,,,,3,6,,,15,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other (Cx coronator),,,,,,,,,,,0,100
