6/17/2014,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,,,1,,,,,1,2,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,2,,,,13,15,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,65,,2,,,4,,296,10,22,399,34
A. quadrimaculatus,,,,,,,,,,,0,31
Culex  erraticus,37,2,2,,,2,6,12,48,5,114,25
C. nigripalpus,90,20,6,,3,14,20,68,126,12,359,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,2,,,,,,,,,,2,41
Coquillettidia  perturbans,2,,,,1,,18,128,12,4,165,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,,,,,,,2,12,8,,22,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,4,,1,,,1,,4,,1,11,50
P. ferox,,,,,,,,,,,0,52
P. howardii,,,,,,,,,,,0,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,5,,2,,,,5,16,,,28,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
Other (Cx coronator),,,,,,,,,,,0,100
