6/24/2014,,,,,,,,,,,,
Site:,1,2,3,4,5,6,7,8,9,10,Totals,Code #
Aedes albopictus,,,2,1,2,,,,,,5,2
A. aegypti,,,,,,,,,,,0,3
A. vexans,,,,,,,,,,,0,1
Ochlerotatus atlanticus,,,,,,,,,,,0,9
O. dupreei,,,,,,,,,,,0,18
O. fulvus pallens,,,,,,,,,,,0,8
O. infirmatus,,,,,,20,,,,6,26,7
O.  mitchellae,,,,,,,,,,,0,6
O. sollicitans,,,,,,,,,,,0,15
O.  taeniorhynchus,,,,,,,,,,,0,5
O.  triseriatus,,,,,,,,,,,0,14
Anopheles crucians,29,13,,,1,3,,92,24,39,201,34
A. quadrimaculatus,,3,,,,,,,,,3,31
Culex  erraticus,122,16,,,3,2,7,80,84,6,320,25
C. nigripalpus,17,21,1,,8,11,10,20,144,9,241,42
C.  quinquefasciatus,,,,,,,,,,,0,27
C. restuans,,,,,,,,,,,0,21
C.  salinarius,,,,,,,,,,,0,23
Culiseta  inornata,,,,,,,,,,,0,40
Culiseta  melanura,1,1,,,,,,,,2,4,41
Coquillettidia  perturbans,2,,,,2,1,3,160,140,,308,60
Mansonia  titillans,,,,,,,,,,,0,47
M. dyari,2,,,,,,7,44,44,3,100,48
Psorophora  ciliata,,,,,,,,,,,0,51
P. columbiae,,,1,,1,3,,4,,1,10,50
P. ferox,,,,,,10,,,,2,12,52
P. howardii,,1,,,,,,,,,1,54
Toxorhynchites rutilus,,,,,,,,,,,0,88
Uranotaenia  sapphirina,8,,1,,,,,,,,9,70
U.  lowii,,,,,,,,,,,0,71
Wyeomyia  mitchellii,,,,,,,,,,,0,80
W.  vanduzeei,,,,,,,,,,,0,82
"Other (Or signifera, Cx coronator)",,,,,,,,,,,0,100
